 House.Price_thousand ,Beds,Baths, Area_thousand ,Address,Parking,Yard,Church,Year.built
320,3,4,3.106,"1305 Tony Cir, Conway, AR 72034",2,Yes,1.2,15
338,4,3,2.968,"1425 Centennial Club Dr, Conway, AR 72034",4,Yes,0.5,12
350,4,3.5,3.228,"3730 Newcastle Dr,Conway, AR 72034",3,Yes,1.1,9
379.981,4,4,3.381,"4015 Newcastle Dr, Conway, AR 72034",2,Yes,0.9,6
389.5,4,4,3.398,"765 Bristol Ln, Conway, AR 72034",2,Yes,1.3,9
399,5,5,4.378,"34 Shady Valley Dr, Conway, AR 72034",3,Yes,1.4,29
399,3,4,3.155,"5230 Burnt Pne, Conway, AR 72034",2,No,1.5,5
425,5,5,3.494,"4865 Quarry Dr, Conway, AR 72034",3,Yes,0.9,13
429.9,4,4,2.383,"1915 Sanders St, Conway, AR 72032",2,No,0.7,3
439.9,4,5,3.577,"600 Bristol Ln, Conway, AR 72034",3,Yes,1.6,7
449.9,5,4,4.303,"5695 Spencer Lake Dr, Conway, AR 72034",3,Yes,2.5,2
450,4,4,4.578,"1830 Stanley Russ Rd, Conway, AR 72034",3,No,1.2,16
455,4,3.5,3.421,"975 Chapel Hill Dr,Conway, AR 72034",3,Yes,0.3,3
610,7,5,6.029,"515 Audubon Pl, Conway, AR 72034",3,Yes,0.3,11
725,5,4,4.736,"620 Bristol Ln,Conway, AR 72034",3,Yes,1.5,9
1800,3,2,10,"42 Southshore Ln, Conway, AR 72032",3,Yes,2.1,6
